,team1,team2,possession_team1,possession team2,number_of_goals_team1,number_of_goals_team2,date,hour,category,total_attempts_team1,total_attempts_team2,conceded_team1,conceded_team2,on_target_attempts_team1,on_target_attempts_team2,off_target_attempts_team1,off_target_attempts_team2,attempted_defensive_line_breaks_team1,attempted_defensive_line_breaks_team2,completed_defensive_line_breaks_team1,completed_defensive_line_breaks_team2,yellow_cards_team1,yellow_cards_team2,red_cards_team1,red_cards_team2,fouls_against_team1,fouls_against_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2
0,QATAR,ECUADOR,42%,50%,0,2,2022-11-20,0 days 05:00:00,Group A,5,6,2,0,0,3,5,3,9,13,4,7,4,2,0,0,15,15,3,4,450,480,381,409,1,3,19,17,0,1,6,5,0,0
1,ENGLAND,IRAN,72%,19%,6,2,2022-11-21,0 days 02:00:00,Group B,13,8,2,6,7,3,3,4,25,7,16,4,0,2,0,0,9,14,2,2,809,224,730,154,8,0,16,10,0,1,8,13,0,0
2,SENEGAL,NETHERLANDS,44%,45%,0,2,2022-11-21,0 days 05:00:00,Group A,14,9,2,0,3,3,8,5,22,22,15,10,2,1,0,0,13,13,2,1,383,438,313,374,6,7,14,14,0,0,9,15,0,0
3,UNITED STATES,WALES,51%,39%,1,1,2022-11-21,0 days 08:00:00,Group B,6,7,1,1,1,3,4,3,23,17,15,8,4,2,0,0,15,10,1,1,569,409,509,321,5,3,11,15,0,1,7,7,0,0
4,ARGENTINA,SAUDI ARABIA,64%,24%,1,2,2022-11-22,0 days 11:00:00,Group C,14,3,2,1,6,2,5,0,39,15,25,7,0,6,0,0,7,21,10,1,610,267,529,190,9,2,22,16,1,0,4,14,0,0
5,DENMARK,TUNISIA,55%,33%,0,0,2022-11-22,0 days 02:00:00,Group D,11,11,0,0,4,1,4,7,21,17,12,6,2,1,0,0,9,10,1,1,594,387,523,302,11,9,11,10,0,0,11,11,0,0
6,MEXICO,POLAND,54%,31%,0,0,2022-11-22,0 days 05:00:00,Group C,13,8,0,0,4,1,5,4,32,12,19,2,2,1,0,0,14,16,3,0,485,322,422,241,6,5,16,16,0,0,8,15,0,0
7,FRANCE,AUSTRALIA,56%,35%,4,1,2022-11-22,0 days 08:00:00,Group D,22,4,1,4,7,1,9,3,32,15,27,7,0,3,0,0,5,11,0,0,734,466,672,399,8,1,11,5,0,0,4,22,0,0
8,MOROCCO,CROATIA,32%,57%,0,0,2022-11-23,0 days 11:00:00,Group F,8,6,0,0,2,2,0,2,10,18,4,9,1,0,0,0,17,11,0,1,360,667,290,592,0,5,12,17,0,0,7,8,0,0
9,GERMANY,JAPAN,65%,22%,1,2,2022-11-23,0 days 02:00:00,Group E,25,10,2,1,9,3,11,6,23,17,20,11,0,0,0,0,6,14,4,4,820,261,743,207,6,6,17,10,1,0,12,26,0,0
10,SPAIN,COSTA RICA,74%,17%,7,0,2022-11-23,0 days 05:00:00,Group E,17,0,0,7,7,0,8,0,34,11,22,1,0,2,0,0,8,12,3,7,1061,231,1003,170,5,0,18,11,1,0,0,17,0,0
