,title,published_date,views,likes,comments,dislikes
0,RARE INDIAN STREET FOOD....YUMMYY🤤| CARRYMINATI,2023-12-24,7778095,1580577,58828,0
1,Saal ki akhri video street food ke naam🤤 #carryminati #shorts #streetfood #comedy,2023-12-22,1001753,127061,1824,0
2,MOTIVATIONAL SPEAKER PARODY | CARRYMINATI,2023-11-23,36693145,3241042,121878,0
3,kya aap nyi parody ke liye taiyaar hai?💀 #lifechangingparody,2023-11-21,9146557,705627,8124,0
4,BIGG BOSS OR YOUTUBE? The Final Verdict | CARRYMINATI Q&A 2023,2023-09-16,21411014,2993368,66348,0
5,JALWA - CARRYMINATI X WILY FRENZY,2023-08-11,14156661,1860566,106110,0
6,"JALWA releasing on Friday, 11th August 2023. #carryminati",2023-08-09,3274927,333067,3107,0
7,DAILY VLOGGERS PARODY 😘 | CARRYMINATI,2023-07-15,65209611,5083509,204051,0
8,"Toh guys, naya vlog aane vaala hai taiyaar rehna 💀 #vlogparody #carryminati",2023-07-13,21629719,1138290,7687,0
9,MC SALMAN FT BIGG BOSS - CARRYMINATI,2023-05-30,42278546,4368618,149720,0
10,CARRYMINATI ROAST BIGG BOSS #shorts #carryminati #biggboss,2023-05-27,9073302,735184,3949,0
11,MAGGIE KHAO BODY BANAO | CARRYMINATI,2023-02-04,36640511,4100327,117266,0
12,CARRYMINATI ROAST TARUN GILL - VIDEO COMING SOON.            #shorts #carryminati,2023-02-02,7844713,593787,4833,0
13,PAKISTANI GHOST HUNTERS,2022-10-19,29894629,3781102,121439,0
14,LADKIYON KA BEST FRIEND,2022-08-11,40842277,5344100,178934,0
15,INDIAN FOOD MAGIC | CARRYMINATI,2022-04-21,44329592,5783051,149297,0
16,GETTING MARRIED? QNA 2022 | CARRYMINATI,2022-02-16,22001894,2818408,76403,0
17,THARA BHAiiiii | CARRYMINATI,2022-01-19,64634070,7001405,336235,0
18,METUBE SPACE | CARRYMINATI,2021-12-03,20332579,2530866,117756,0
19,CANCEL CULTURE ORGANIZATION | CARRYMINATI,2021-09-05,22962717,2186906,109283,0
20,SOCIAL MEDIA CULTURE | CARRYMINATI,2021-09-05,22497582,2854738,159709,0
21,THE LAND OF BIGG BOSS | CARRYMINATI,2021-05-23,54866031,4734498,345501,0
22,VARDAAN - CARRYMINATI X Wily Frenzy,2021-01-17,75711089,6794878,422903,0
23,MASSAGE PARADISE,2020-11-20,40406440,5181668,190628,0
24,IDLES OF INDIA: GONE RIGHT,2020-09-04,48785705,5678389,260229,0
25,THE ART OF BAD WORDS,2020-07-10,48065245,6289441,371277,0
26,YALGAAR - CARRYMINATI X Wily Frenzy,2020-06-05,357753112,18594525,1714864,0
27,YALGAAR....COMING SOON,2020-05-24,39075461,4944047,322284,0
28,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,2020-05-17,79532118,9197850,823827,0
29,WARRIOR - CARRYMINATI X Wily Frenzy,2020-04-24,16283920,1393629,68899,0
30,FILM THE FLARE,2020-04-10,57941094,4043675,80916,0
31,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,2020-03-07,29496539,2689984,50130,0
32,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,2020-02-12,75189674,5571813,151333,0
33,Zindagi - CARRYMINATI X Wily Frenzy,2020-01-17,34834351,2689755,83591,0
