,,Name,Count
1920,0,Karl,11204
1920,1,Sven,7311
1920,2,Nils ,6242
1920,3,Erik ,5520
1920,4,Stig,4616
1920,5,Bengt,4240
1920,6,Lars,3799
1920,7,Arne,3109
1920,8,Per,2992
1920,9,Gunnar,2783
1930,0,Karl,13929
1930,1,Sven,13134
1930,2,Lars,12213
1930,3,Bengt,11125
1930,4,Stig,10344
1930,5,Nils ,9387
1930,6,Hans,7505
1930,7,Rolf,7504
1930,8,Bo,6889
1930,9,Erik,6005
1940,0,Lars,26570
1940,1,Jan,19994
1940,2,Bo,17477
1940,3,Bengt,17460
1940,4,Hans,16998
1940,5,Leif,16421
1940,6,Karl,13593
1940,7,Sven,13150
1940,8,Kjell,12607
1940,9,Rolf,11902
1950,0,Lars,24130
1950,1,Jan,18339
1950,2,Anders,17627
1950,3,Mats,13861
1950,4,Per,13593
1950,5,Thomas,13393
1950,6,Hans,13241
1950,7,Bengt,12520
1950,8,Bo,12417
1950,9,Peter,11467
1960,0,Lars,24130
1960,1,Jan,18339
1960,2,Anders,17627
1960,3,Mats,13861
1960,4,Per,13593
1960,5,Thomas,13393
1960,6,Hans,13241
1960,7,Bengt,12520
1960,8,Bo,12417
1960,9,Peter,11467
1970,0,Lars,24130
1970,1,Jan,18339
1970,2,Anders,17627
1970,3,Mats,13861
1970,4,Per,13593
1970,5,Thomas,13393
1970,6,Hans,13241
1970,7,Bengt,12520
1970,8,Bo,12417
1970,9,Peter,11467
1980,0,Johan,21918
1980,1,Daniel,19111
1980,2,Andreas,17253
1980,3,Fredrik,15938
1980,4,Mikael,14234
1980,5,Erik ,13425
1980,6,Christoffer,13058
1980,7,Marcus,12833
1980,8,Mattias,11696
1980,9,Niklas,11411
1990,0,Johan,21918
1990,1,Daniel,19111
1990,2,Andreas,17253
1990,3,Fredrik,15938
1990,4,Mikael,14234
1990,5,Erik ,13425
1990,6,Christoffer,13058
1990,7,Marcus,12833
1990,8,Mattias,11696
1990,9,Niklas,11411
2000,0,Johan,21918
2000,1,Daniel,19111
2000,2,Andreas,17253
2000,3,Fredrik,15938
2000,4,Mikael,14234
2000,5,Erik ,13425
2000,6,Christoffer,13058
2000,7,Marcus,12833
2000,8,Mattias,11696
2000,9,Niklas,11411
2010,0,William,9180
2010,1,Lucas,8758
2010,2,Oscar,8662
2010,3,Liam,7695
2010,4,Elias,7556
2010,5,Oliver,7440
2010,6,Hugo,7414
2010,7,Alexander,6986
2010,8,Mohamed,6485
2010,9,Leo,6044
2020,0,William,9180
2020,1,Lucas,8758
2020,2,Oscar,8662
2020,3,Liam,7695
2020,4,Elias,7556
2020,5,Oliver,7440
2020,6,Hugo,7414
2020,7,Alexander,6986
2020,8,Mohamed,6485
2020,9,Leo,6044
